revdisp;sali;sali0;sali1;irpp
33988.6992188;35742;35341.3654618;401.606425703;-1753.30004883
34339.1601562;36143;35742.9718876;401.606425703;-1803.83996582
34690.4804688;36545;36144.5783133;401.606425703;-1854.52001953
35041.9414062;36947;36546.184739;401.606425703;-1905.06005859
35392.3984375;37348;36947.7911647;401.606425703;-1955.59997559
35743.71875;37750;37349.3975904;401.606425703;-2006.2800293
36095.0390625;38152;37751.0040161;401.606425703;-2056.95996094
36445.5;38553;38152.6104418;401.606425703;-2107.5
36796.8203125;38955;38554.2168675;401.606425703;-2158.17993164
37147.421875;39356;38955.8232932;401.606425703;-2208.58007812
37498.7382812;39758;39357.4297189;401.606425703;-2259.26000977
37850.0585938;40160;39759.0361446;401.606425703;-2309.93994141
38200.5195312;40561;40160.6425703;401.606425703;-2360.47998047
38551.8398438;40963;40562.248996;401.606425703;-2411.15991211
38902.3007812;41364;40963.8554217;401.606425703;-2461.69995117
39253.6171875;41766;41365.4618474;401.606425703;-2512.37939453
39605.078125;42168;41767.0682731;401.606425703;-2562.91943359
39955.5390625;42569;42168.6746988;401.606425703;-2613.45996094
40306.859375;42971;42570.2811245;401.606425703;-2664.13989258
40657.3203125;43372;42971.8875502;401.606425703;-2714.67993164
41008.640625;43774;43373.4939759;401.606425703;-2765.36010742
41360.1015625;44176;43775.1004016;401.606425703;-2815.89990234
41710.5585938;44577;44176.7068273;401.606425703;-2866.43994141
42061.8789062;44979;44578.313253;401.606425703;-2917.12011719
42412.3398438;45380;44979.9196787;401.606425703;-2967.65991211
42763.6601562;45782;45381.5261044;401.606425703;-3018.34008789
43114.9804688;46184;45783.1325301;401.606425703;-3069.02001953
43465.4414062;46585;46184.7389558;401.606425703;-3119.56005859
43816.8984375;46987;46586.3453815;401.606425703;-3170.10009766
44167.359375;47388;46987.9518072;401.606425703;-3220.63989258
44518.6835938;47790;47389.5582329;401.606425703;-3271.32055664
44870.0039062;48192;47791.1646586;401.606425703;-3322.00048828
45220.4609375;48593;48192.7710843;401.606425703;-3372.54003906
45571.78125;48995;48594.37751;401.606425703;-3423.2199707
45922.3789062;49396;48995.9839357;401.606425703;-3473.62011719
46273.6992188;49798;49397.5903614;401.606425703;-3524.30004883
46625.0195312;50200;49799.1967871;401.606425703;-3574.97998047
46975.4804688;50601;50200.8032129;401.606425703;-3625.52001953
47326.8007812;51003;50602.4096386;401.606425703;-3676.19995117
47678.1210938;51405;51004.0160643;401.606425703;-3726.87988281
48028.578125;51806;51405.62249;401.606425703;-3777.41943359
48380.0390625;52208;51807.2289157;401.606425703;-3827.95996094
48730.5;52609;52208.8353414;401.606425703;-3878.5
49081.8203125;53011;52610.4417671;401.606425703;-3929.17993164
49433.140625;53413;53012.0481928;401.606425703;-3979.86010742
49783.6015625;53814;53413.6546185;401.606425703;-4030.39990234
50135.0585938;54216;53815.2610442;401.606425703;-4080.93994141
50485.5195312;54617;54216.8674699;401.606425703;-4131.47998047
50836.8398438;55019;54618.4738956;401.606425703;-4182.16015625
51188.1601562;55421;55020.0803213;401.606425703;-4232.83984375
51538.6210938;55822;55421.686747;401.606425703;-4283.37988281
51889.9375;56224;55823.2931727;401.606425703;-4334.05957031
52240.3984375;56625;56224.8995984;401.606425703;-4384.59960938
52591.859375;57027;56626.5060241;401.606425703;-4435.14013672
52943.1796875;57429;57028.1124498;401.606425703;-4485.81982422
53293.640625;57830;57429.7188755;401.606425703;-4536.35986328
53644.9609375;58232;57831.3253012;401.606425703;-4587.04003906
53995.421875;58633;58232.9317269;401.606425703;-4637.58056641
54346.7382812;59035;58634.5381526;401.606425703;-4688.25927734
54698.203125;59437;59036.1445783;401.606425703;-4738.80078125
55011.6992188;59838;59437.751004;401.606425703;-4826.29980469
55305.1015625;60240;59839.3574297;401.606425703;-4934.89990234
55597.8007812;60641;60240.9638554;401.606425703;-5043.20019531
55891.1992188;61043;60642.5702811;401.606425703;-5151.79980469
