revdisp;sali;sali0;sali1;irpp
30848.5390625;34537;34136.5461847;401.606425703;-3576.04614258
31141.5625;34939;34538.1526104;401.606425703;-3684.05541992
31433.5839844;35340;34939.7590361;401.606425703;-3792.06494141
31726.3046875;35742;35341.3654618;401.606425703;-3900.37426758
32018.3242188;36143;35742.9718876;401.606425703;-4008.38232422
32311.0488281;36545;36144.5783133;401.606425703;-4116.69287109
32603.7695312;36947;36546.184739;401.606425703;-4225.00097656
32895.7890625;37348;36947.7911647;401.606425703;-4333.01074219
33188.5078125;37750;37349.3975904;401.606425703;-4441.31884766
33481.2304688;38152;37751.0040161;401.606425703;-4549.62792969
33773.2539062;38553;38152.6104418;401.606425703;-4657.63769531
34065.9765625;38955;38554.2168675;401.606425703;-4765.94677734
34357.9960938;39356;38955.8232932;401.606425703;-4873.95605469
34650.71875;39758;39357.4297189;401.606425703;-4982.265625
34943.4414062;40160;39759.0361446;401.606425703;-5090.57519531
35235.4609375;40561;40160.6425703;401.606425703;-5198.58300781
35528.4804688;40963;40562.248996;401.606425703;-5306.59130859
35820.5039062;41364;40963.8554217;401.606425703;-5414.60205078
36113.2226562;41766;41365.4618474;401.606425703;-5522.91015625
36405.9414062;42168;41767.0682731;401.606425703;-5631.21826172
36697.9648438;42569;42168.6746988;401.606425703;-5739.22900391
36990.6875;42971;42570.2811245;401.606425703;-5847.53710938
37282.7109375;43372;42971.8875502;401.606425703;-5955.54785156
37575.4335938;43774;43373.4939759;401.606425703;-6063.85693359
37868.1523438;44176;43775.1004016;401.606425703;-6172.16503906
38160.171875;44577;44176.7068273;401.606425703;-6280.17480469
38452.890625;44979;44578.313253;401.606425703;-6388.48291016
38744.9179688;45380;44979.9196787;401.606425703;-6496.49316406
39037.6367188;45782;45381.5261044;401.606425703;-6604.80175781
39330.359375;46184;45783.1325301;401.606425703;-6713.11083984
39622.3789062;46585;46184.7389558;401.606425703;-6821.12011719
39915.1015625;46987;46586.3453815;401.606425703;-6929.4296875
40207.1210938;47388;46987.9518072;401.606425703;-7037.43798828
40500.1445312;47790;47389.5582329;401.606425703;-7145.44824219
40792.8632812;48192;47791.1646586;401.606425703;-7253.75683594
41084.8867188;48593;48192.7710843;401.606425703;-7361.76611328
